Visa Rank	Employer	H1B LCA(2017-2019) (Denied, Withdrawn/Total)	Green Card LC(2017-2019)  (Denied, Withdrawn/Total)
1619	5453	Ssn Group Llc	1/38	3/13
1620	5453	Cloudquest Technologies, Llc	0/46	0/5
1621	5453	Eok Technologies, Inc.	0/48	0/3
1622	5453	Tracfone Wireless, Inc.	1/42	0/9
1623	5453	Yash Solutions, Llc	3/50	0/1
1624	5453	Netrocon Inc	5/49	0/2
1625	5453	Global Soft Tech Inc.	5/51	-
1626	5453	Udemy, Inc.	1/39	0/12
1627	5453	Turningpoint Global Solutions Llc	1/44	0/7
1628	5453	Astograph Inc	6/51	-
1629	5526	Ibm Global Systems, Inc.	4/50	-
1630	5526	Lorven Technologies, Inc.	1/47	1/3
1631	5526	Numerix Llc	0/44	0/6
1632	5526	Alpine Electronics Research Of America, Inc.	2/44	0/6
1633	5526	Instart Inc.	1/44	0/6
1634	5526	Sky Technologies, Llc	0/46	0/4
1635	5526	Cynosoft Solutions, Inc.	2/48	0/2
1636	5526	Silver Spring Networks, Inc.	2/40	0/10
1637	5526	Trn Systems, Inc.	6/46	0/4
1638	5526	Alertenterprise, Inc	0/47	0/3
1639	5526	Universal System Technologies, Inc.	0/44	0/6
1640	5595	Software Specialists, Inc.	5/40	1/9
1641	5595	Gs Soft Inc	0/45	0/4
1642	5595	Syspro Technologies, Inc.	2/42	1/7
1643	5595	9m Solutions, Inc.	1/43	0/6
1644	5595	Spi Research And Development Services, Llc	0/46	1/3
1645	5595	Compulink Management Center, Inc.	1/33	7/16
1646	5595	Ulab Inc	4/48	0/1
1647	5595	Persistent Telecom Solutions Inc.	4/46	0/3
1648	5595	Virtual Systems Solutions, Inc.	2/47	0/2
1649	5595	Ikasystems Corporation	8/49	-
1650	5595	Crossvale, Inc.	3/44	0/5
1651	5595	Schoeneckers, Inc.	2/41	2/8
1652	5595	Kumaran Systems, Inc.	5/47	0/2
1653	5595	Securus Technologies Inc	1/40	3/9
1654	5595	Kbts Technologies, Inc.	2/42	0/7
1655	5595	Rover Resources, Inc	0/45	0/4
1656	5595	Agile Global Solutions, Inc	0/44	2/5
1657	5595	Avalara, Inc.	1/42	0/7
1658	5595	Feather Technologies, Inc.	2/43	0/6
1659	5595	Optimizely, Inc.	0/41	0/8
1660	5595	Onesource Virtual Hr, Inc.	2/26	0/23
1661	5595	Lorven Applications Inc	1/43	1/6
1662	5595	Macy's Systems And Technology	0/13	1/36
1663	5595	Refulgent Technologies Inc.	1/42	2/7
1664	5700	Infoweb Systems, Inc.	0/43	0/5
1665	5700	Terra Information Group, Inc	4/44	3/4
1666	5700	Greycell Labs Inc	2/48	-
1667	5700	Cdi Solutions, Inc	3/40	1/8
1668	5700	Checkfree Services Corporation	0/23	0/25
1669	5700	Quadratic Systems, Inc.	0/41	0/7
1670	5700	Hi-Tech Solutions, Inc.	0/41	0/7
1671	5700	Cigniti, Inc.	2/33	0/15
1672	5700	Think Big Solutions, Inc.	5/44	0/4
1673	5700	Kaygen, Inc.	2/42	0/6
1674	5700	Clicksoftware, Inc.	2/33	2/15
1675	5700	Decitech Consulting, Inc.	5/46	0/2
1676	5700	Jm Information Systems, Llc	0/41	0/7
1677	5700	Universities Space Research Association	5/48	-
1678	5700	Smule, Inc.	2/38	1/10
1679	5700	Software Solutions Group Inc	3/47	0/1
1680	5700	Course Hero, Inc.	2/43	0/5
1681	5700	Agitech Solutions, Inc	0/46	0/2
1682	5700	Ace Technologies, Inc.	1/48	-
1683	5791	Harmonic, Inc.	4/37	1/10
1684	5791	Covey Software Systems, Inc	0/46	0/1
1685	5791	Egain Corporation	1/40	1/7
1686	5791	Inspur Worldwide Services, Ltd	2/42	0/5
1687	5791	Eis Technologies, Inc.	2/41	0/6
1688	5791	Convergent Consulting, Inc.	3/45	0/2
1689	5791	K-Source Inc.	0/41	1/6
1690	5791	Nutech Systems, Inc.	0/44	0/3
1691	5791	Chain-Sys Corporation	2/43	0/4
1692	5791	Libertycom Llc	1/39	0/8
1693	5791	Nice Systems Inc.	1/36	0/11
1694	5791	Lookout, Inc.	0/30	1/17
1695	5791	Orbit Systems Inc.	1/44	0/3
1696	5791	Enterprise Solutions, Inc.	4/46	0/1
1697	5791	Smartek21 Llc	0/45	0/2
1698	5791	Am Logic Corporation	5/42	0/5
1699	5791	Questsoft Solutions Inc	4/43	0/4
1700	5791	Radiant Logic, Inc.	4/41	0/6
1701	5896	Info-Matrix Corporation	5/42	0/4
1702	5896	Exponentia Us Inc	3/40	0/6
1703	5896	Proteam, Llc	5/44	0/2
1704	5896	It Resonance Inc.	4/40	0/6
1705	5896	Roundarch Isobar, Inc.	1/38	1/8
1706	5896	Meltwater News Us1 Inc.	2/32	0/14
1707	5896	T3c, Inc. Dba Retail Solutions, Inc.	1/43	0/3
1708	5896	Invexer Technology, Inc.	1/40	0/6
1709	5896	Saba Software Inc.	1/40	1/6
1710	5896	Zealtech, Inc.	4/44	0/2
1711	5896	Sanpro Technologies, Inc	2/42	4/4
1712	5896	Vayu Inc	0/39	0/7
1713	5896	Kbace Technologies, Inc.	11/37	0/9
1714	5896	Zieta Technologies, Llc	3/43	0/3
1715	5896	Fabit Corp	1/46	-
1716	5896	Speridian Technologies A.K.A Karma Consulting Svc	-	3/46
1717	5982	Sunfix Technologies, Inc	5/43	2/2
1718	5982	Systemart Llc	5/40	0/5
1719	5982	Orbitz Worldwide	0/34	0/11
1720	5982	Sodexo, Inc.	0/34	0/11
1721	5982	Svt, Inc	2/38	1/7
1722	5982	Ingrain Systems Inc	1/45	-
1723	5982	Prime Solutions, Inc.	0/40	0/5
1724	5982	Arka Solutions, Inc.	0/43	0/2
1725	5982	Accel International, Inc.	0/44	0/1
1726	5982	Pegasus Knowledge Solutions, Inc.	0/39	0/6
1727	5982	Advansoft Worldwide Inc	6/45	-
1728	5982	Syncsort, Inc.	0/38	0/7
1729	5982	Schrödinger, Inc.	0/40	0/5
1730	5982	Halvik Corp	4/39	0/6
1731	5982	Southeastern Data Cooperative Inc	3/40	1/5
1732	5982	Vecna Technologies, Inc.	0/36	1/9
1733	5982	Innosoul Inc	0/45	-
1734	5982	Ntelicor, Lp	2/40	0/5
1735	6096	3h Systems Llc	1/42	0/2
1736	6096	Aurotech, Inc	3/37	0/7
1737	6096	Insyst Inc	6/40	0/4
1738	6096	Travelclick Inc	0/32	0/12
1739	6096	Kargo Global, Inc.	1/36	1/8
1740	6096	Convene Inc	1/31	5/13
1741	6096	Priserve Consulting Inc	4/39	0/5
1742	6096	Sure Tech Services, Inc.	0/31	1/13
1743	6096	Sql Data Solutions, Inc.,	0/37	1/7
1744	6096	Qtech Consulting Group, Inc.	1/42	0/2
1745	6096	Ark Solutions, Inc.	1/42	0/2
1746	6096	Khoj Information Technology, Inc.	0/41	0/3
1747	6096	Mindspark Interactive Network, Inc.	0/39	0/5
1748	6096	Cyber Group Inc.	6/40	0/4
1749	6096	Strata Solutions Inc.	0/43	0/1
1750	6096	Moneygram International, Inc.	2/39	0/5
1751	6096	Teletracking Technologies, Inc.	0/39	0/5
1752	6096	Spri Partners, Llc.	2/36	2/8
1753	6096	24/7 Customer, Inc.	1/40	1/4
1754	6096	Candor Group Inc.	0/38	1/6
1755	6096	Amg Technology Llc	4/42	0/2
1756	6096	Bitech, Inc.	1/38	2/6
1757	6096	Phunware, Inc.	1/34	1/10
1758	6096	Ab Star Group	7/44	-
1759	6096	Wise Men Consultants Inc.	4/43	0/1
1760	6214	Echelon It Inc	3/43	-
1761	6214	Aurionpro Solutions, Inc.	1/34	0/9
1762	6214	Cross Commerce Media, Inc.	2/32	0/11
1763	6214	Blueline Software Services Inc.	1/43	-
1764	6214	Patientkeeper, Inc.	1/37	0/6
1765	6214	Avi Networks, Inc.	3/37	0/6
1766	6214	Rulesware, Llc	0/35	1/8
1767	6214	Unified Business Technologies, Inc	4/28	3/15
1768	6214	Ellucian Company, Lp	0/30	1/13
1769	6214	Insight Direct Usa, Inc.	1/37	0/6
1770	6214	B2b Infosys, Inc.	3/41	0/2
1771	6214	Cch Incorporated	1/38	0/5
1772	6214	Mobitv, Inc.	0/37	0/6
1773	6214	Cyber Sphere Llc	0/37	1/6
1774	6214	Orion Systems Integrators, Inc	-	6/43
1775	6214	System Edge (Usa) Llc	7/40	0/3
1776	6214	Shibram Banerjee, Inc.	3/38	1/5
1777	6324	Alliant Technologies, Llc	0/37	0/5
1778	6324	Ace Info Solutions, Inc.	2/39	0/3
1779	6324	Espryt, Inc.	0/42	-
1780	6324	East West Systems Inc.	0/34	1/8
1781	6324	Amko Software Solutions, Inc.	0/38	0/4
1782	6324	Aetea Information Technology, Inc.	2/34	1/8
1783	6324	Infobuilders Inc	1/40	0/2
1784	6324	Liveramp, Inc.	6/41	1/1
1785	6324	Mezocliq Llc	0/32	1/10
1786	6324	Aspect Software, Inc.	0/37	0/5
1787	6324	Globalsoft Solutions Inc	0/40	0/2
1788	6324	Hitachi Solutions America, Ltd.	2/28	1/14
1789	6324	Qualitree Inc	7/40	1/2
1790	6324	Blackbaud, Inc.	4/37	0/5
1791	6324	Next Sphere Technologies, Inc.	1/34	0/8
1792	6324	Camp Systems International Inc.	2/37	0/5
1793	6324	Goldline Technologies Inc.	2/41	0/1
1794	6324	Rapid7, Llc	2/34	0/8
1795	6324	Advance Digital Systems Inc	3/37	0/5
1796	6324	Sanveo, Inc.	0/37	0/5
1797	6324	Ruha Technologies, Inc.	0/37	0/5
1798	6324	Knack Systems Llc	0/39	0/3
1799	6441	Xactly Corporation	2/31	2/10
1800	6441	Akraya Inc	0/40	0/1
1801	6441	Elite Solutions, Inc.	7/36	0/5
1802	6441	Arcadia Solutions Llc	1/29	0/12
1803	6441	Palatial Technologies Inc	0/35	0/6
1804	6441	Bazaarvoice, Inc.	1/35	1/6
1805	6441	Nivasoft, Inc	0/32	0/9
1806	6441	Rocket Fuel, Inc.	0/31	1/10
1807	6441	Hance Incorporated	2/41	-
1808	6441	Eifer It, Llc	1/40	0/1
1809	6441	Korcomptenz, Inc.	1/41	-
1810	6441	Fundtech Corporation	0/35	0/6
1811	6441	Ventera Corporation	3/31	2/10
1812	6441	Leapfrog Systems, Inc.	0/40	0/1
1813	6441	Seeburger, Inc.	4/36	1/5
1814	6441	Vedainfo, Inc.	2/36	0/5
1815	6441	Neoage Services Llc	0/34	1/7
1816	6441	Nowcom Corporation	4/36	0/5
1817	6441	Ndvor Solutions Llc	2/38	0/3
1818	6441	3a Soft Inc.	2/34	1/7
1819	6441	Radise International	5/36	0/5
1820	6575	Inspira, Inc.	1/40	-
1821	6575	Emeteors Inc	1/40	-
1822	6575	Bizit Consultants, Inc.	3/38	0/2
1823	6575	Scopely, Inc.	0/32	0/8
1824	6575	Amazech Solutions Llc	3/36	0/4
1825	6575	Citco Technology Management Incorporated	1/32	1/8
1826	6575	Sunsoft Solutions, Inc.	2/39	0/1
1827	6575	Dimension Consulting	0/36	0/4
1828	6575	Ibis Tech International Corp	0/40	-
1829	6575	Central Dynamics Corporation	5/38	0/2
1830	6575	Public Consulting Group, Inc.	0/34	0/6
1831	6575	Trellis Technology Solutions, Llc	1/38	0/2
1832	6575	Tekpros Inc	1/38	2/2
1833	6575	Egnyte, Inc.	0/31	0/9
1834	6684	Trading Technologies International, Inc.	2/31	0/8
1835	6684	Compuware Corporation	1/21	17/18
1836	6684	Credent Technologies Llc	2/36	0/3
1837	6684	Rayonsoft Technologies Inc.	0/36	0/3
1838	6684	Geonine Inc.	5/39	-
1839	6684	Mindbody, Inc.	0/35	0/4
1840	6684	One Network Enterprises, Inc.	0/31	0/8
1841	6684	Xinthe Technologies Pvt Lt	1/37	1/2
1842	6684	Blackboard Inc.	3/36	0/3
1843	6684	Greenbay Infotech Llc	1/38	0/1
1844	6684	Storm8, Inc.	4/31	0/8
1845	6684	Xtream It People Inc.	2/36	1/3
1846	6684	Maq Llc	1/25	2/14
1847	6684	Saturn Infotech Inc	8/38	0/1
1848	6684	Divihn Integration Inc.	2/37	1/2
1849	6684	Casenet, Llc	4/36	0/3
1850	6684	Appirio Inc.	0/38	1/1
1851	6811	Dunkin' Brands, Inc.	1/31	2/7
1852	6811	Elektrobit Automotive Americas Inc.	1/30	0/8
1853	6811	Insigma Inc.	1/36	0/2
1854	6811	Cybertech Systems And Software, Inc.	0/36	1/2
1855	6811	Coalescent Systems Llc	5/33	1/5
1856	6811	Memsql, Inc.	1/34	0/4
1857	6811	Excentus Corporation	2/32	0/6
1858	6811	Guru It Solutions, Inc	5/34	1/4
1859	6811	Actionet, Inc.	4/34	0/4
1860	6811	Athreya, Inc	0/33	0/5
1861	6811	Nec Corporation Of America	0/36	0/2
1862	6811	Teamsoft Technologies, Llc	3/35	1/3
1863	6811	Vendavo, Inc.	0/33	1/5
1864	6811	Tecsource International Llc	3/36	0/2
1865	6811	Daman Incorporated	0/22	1/16
1866	6811	Chetu, Inc.	3/36	1/2
1867	6811	Intelligent Solutions Group Corp	3/30	1/8
1868	6811	Fynbosys Inc	2/37	0/1
1869	6811	Cbs Corporate Services Inc.	0/30	0/8
1870	6811	Ionidea Inc	1/30	0/8
1871	6951	Congruent Solutions Inc.	6/37	-
1872	6951	American Megatrends, Inc.	0/23	0/14
1873	6951	Sirius Sps, Llc	1/37	-
1874	6951	Infonero Inc	4/33	2/4
1875	6951	Robustware Inc.	1/35	0/2
1876	6951	Pragiti, Inc.	1/30	0/7
1877	6951	Mercury Technology Group, Inc.	2/22	0/15
1878	6951	Richrelevance, Inc.	0/33	0/4
1879	6951	Silver Peak Systems, Inc.	0/32	1/5
1880	6951	Electronic Arts Tiburon	0/23	0/14
1881	6951	Comity Designs Inc.	0/34	0/3
1882	6951	Lara Tekies Inc	0/33	0/4
1883	6951	Thoughtfocus Technologies	3/30	0/7
1884	6951	Chartboost, Inc.	2/30	0/7
1885	6951	Sage Software, Inc.	1/32	0/5
1886	6951	Ak Systems, Inc.	0/30	0/7
1887	6951	Novedea Systems, Inc.	2/31	0/6
1888	6951	Vensiti Inc	2/32	0/5
1889	6951	Agilone, Inc.	0/31	1/6
1890	6951	Clerysys, Inc.	4/36	0/1
1891	6951	V2solutions, Inc.	1/32	0/5
1892	6951	Right Click Systems, Llc	0/32	0/5
1893	6951	Maven Companies, Inc.	0/37	-
1894	6951	Digital River, Inc.	0/31	0/6
1895	6951	Dicentral Corporation	0/30	0/7
1896	6951	Resource Search Company, Inc.	5/34	0/3
1897	7085	Netronome Systems, Inc.	1/26	0/10
1898	7085	Techspace Solutions Inc	1/31	1/5
1899	7085	Dcm Limited	0/32	0/4
1900	7085	Gunjan Cutting Edge Solutions, Inc	1/30	0/6
1901	7085	Advit Consulting Inc	2/36	-
1902	7085	Krypt, Inc.	0/36	-
1903	7085	Pozent Corporation	2/34	0/2
1904	7085	Zgage Inc.	1/34	0/2
1905	7085	Thales E-Security, Inc.	1/26	1/10
1906	7085	Loginsoft Consulting Llc	2/33	0/3
1907	7085	The Wellspring Group Inc.	0/30	1/6
1908	7085	Gamestop Corp.	2/32	0/4
1909	7085	Net Matrix Solutions, Inc.	2/35	0/1
1910	7085	Delight Consulting Services Llc.	0/31	0/5
1911	7085	Polaris Associates, Inc.	3/31	0/5
1912	7085	Pamedge, Inc.	0/32	1/4
1913	7085	S Cube Soft, Inc.	2/32	0/4
1914	7085	Synergyquad Inc.	2/33	1/3
1915	7085	Sage Group Consulting, Inc.	1/30	0/6
1916	7085	Technology Partners, Inc.	1/31	0/5
1917	7225	Url Systems, Inc.	2/34	0/1
1918	7225	Anjana Software Solutions, Inc.	1/25	0/10
1919	7225	The United Solutions Group Inc.	7/32	1/3
1920	7225	Collaborative Systems, Inc.	0/34	0/1
1921	7225	Serviont Global Solutions Inc	4/34	0/1
1922	7225	Cyberbest Technology, Inc.	0/32	0/3
1923	7225	Xceed Technologies, Inc.	0/34	0/1
1924	7225	Revinate, Inc.	1/33	0/2
1925	7225	Technology Ventures Llc	0/30	0/5
1926	7225	Information Resource Group, Inc.	1/29	1/6
1927	7225	Oss, Inc.	2/26	1/9
1928	7225	Multivision Inc.	0/34	1/1
1929	7225	Grand Circle, Llc	2/30	1/5
1930	7225	Vdart Inc	1/27	0/8
1931	7225	Excelto Solutions, Llc.	0/29	2/6
1932	7225	Auritas, Llc	0/28	0/7
1933	7225	Backoffice Associates, Llc	3/35	-
1934	7225	Suswee Infotech Corp	5/29	0/6
1935	7225	Waltech, Inc.	4/30	0/5
1936	7225	Hermes Technologies Inc	0/32	0/3
1937	7225	Ibasis, Inc.	0/28	0/7
1938	7225	Excel Global Solutions Inc.	8/35	-
1939	7225	Sanvy Systems Inc	0/32	1/3
1940	7225	Cpsg Partners, Llc	5/27	0/8
1941	7225	Ains, Inc.	2/29	1/6
1942	7225	Amber Road Inc	1/32	0/3
1943	7225	Radiant Systems, Inc.	5/34	0/1
1944	7373	Scribd, Inc.	3/28	0/6
1945	7373	Lex Nimble Solutions Inc Dba Ilbsg,Inc	-	4/34
1946	7373	Computer Power Group Inc	0/31	0/3
1947	7373	Ardent Erp Solutions, Inc.	3/30	1/4
1948	7373	Comsol, Inc.	1/31	0/3
1949	7373	Presidio Networked Solutions, Inc.	0/24	1/10
1950	7373	Sterlite Software Usa, Inc.	1/33	0/1
1951	7373	Wyndham Vacation Ownership, Inc.	0/30	1/4
1952	7373	Quantum Infotech Inc.	3/29	2/5
1953	7373	Pearlsoft Solutions Incorporated	0/26	0/8
1954	7373	Credit One Bank	0/34	-
1955	7373	Integration Appliance, Inc.	5/27	0/7
1956	7373	Scivantage, Inc.	4/31	1/3
1957	7373	Niit Technologies Inc.	0/29	0/5
1958	7373	Sdilogic, Inc.	0/31	0/3
1959	7373	Professional Consulting, Inc	3/28	0/6
1960	7373	Next Level Business Services, Inc.	3/34	-
1961	7373	Intertrust Technologies Corporation	2/28	0/6
1962	7373	Mcaconnect, Llc	6/29	2/5
1963	7373	Ubisoft Inc.	1/19	1/15
1964	7540	Ibiz Software, Inc.	0/26	0/7
1965	7540	Dsfederal, Inc.	3/30	0/3
1966	7540	Dnanexus, Inc.	0/24	0/9
1967	7540	Airlines Reporting Corporation	4/26	1/7
1968	7540	Sunplus Data Group	1/31	0/2
1969	7540	Calpion, Inc.	2/27	2/6
1970	7540	Alpha Consulting Corporation	1/26	0/7
1971	7540	Minerva Networks, Inc	0/26	0/7
1972	7540	Qsi Management Llc	1/28	2/5
1973	7540	Gsr Technologies Inc.	0/28	0/5
1974	7540	U.S.Interactive Corp ( Delaware)	0/32	0/1
1975	7540	Mozilla Corporation	0/27	1/6
1976	7540	Entellects Corporation	2/33	-
1977	7540	Trinity Technology Group, Inc	0/29	0/4
1978	7540	Proactive Technical Services, Inc.	0/24	1/9
1979	7713	Nexon America, Inc.	1/18	0/14
1980	7713	Ost, Inc.	1/30	0/2
1981	7713	Sun Power Consulting Llc	2/28	0/4
1982	7713	Enterprise Pals, Inc.	2/27	0/5
1983	7713	Inforeem, Inc.	1/25	1/7
1984	7713	Qvc, Inc.	4/30	0/2
1985	7713	Tech One Staffing, Llc	1/32	-
1986	7713	Tangoe Inc	6/28	1/4
1987	7713	Transaction Network Services, Inc.	0/25	0/7
1988	7713	Tech Data Corporation	3/24	3/8
1989	7713	Labvantage Solutions, Inc.	0/24	0/8
1990	7713	Smartbridge, Llc	0/27	0/5
1991	7713	Wns North America Inc.	0/30	0/2
1992	7713	Athoc, Inc.	0/27	0/5
1993	7713	Computer Consultants Of America, Inc.	1/29	1/3
1994	7713	Linedata Services (Bft), Inc.	0/11	4/21
1995	7713	Infovision Consultants, Inc.	-	4/32
1996	7713	Central Business Solutions, Inc	2/27	1/5
1997	7713	Revenue Analytics, Inc.	0/31	0/1
1998	7713	Lions Gate Entertainment Corp	0/23	1/9
1999	7713	Cambridge Systematics, Inc.	1/27	0/5
2000	7713	Eyork Consulting Inc.	0/25	0/7
2001	7713	Nextrow, Inc.	0/25	0/7
2002	7713	X.Commerce	0/19	1/13
2003	7713	Fortira Inc	1/24	1/8
2004	7713	Centurytel Service Group, Llc	3/30	0/2
2005	7713	Interactive Data Corporation	5/28	0/4
2006	7713	Berean Group International, Inc.	0/30	0/2
2007	7713	Open Systems International, Inc.	0/27	0/5
2008	7713	Processweaver, Inc.	0/28	0/4
2009	7713	Bpa Technologies, Inc.	0/24	1/8
2010	7905	Sps Commerce, Inc.	3/25	0/6
2011	7905	Softlabz Corporation	0/27	0/4
2012	7905	It Transformers, Inc.	1/24	2/7
2013	7905	Integral Consulting Services, Inc.	0/25	0/6
2014	7905	V Group Inc	1/30	0/1
2015	7905	Aditi Llc	0/31	-
2016	7905	Corptax, Inc.	0/25	0/6
2017	7905	Telcobuy.Com Llc	2/22	0/9
2018	7905	Trueblue, Inc.	0/27	1/4
2019	7905	Reflektion, Inc.	1/26	0/5
2020	7905	Hearsay Social, Inc.	0/21	1/10
2021	7905	Econsultants Inc.	3/26	0/5
2022	7905	Bluesoft Solutions Llc	2/31	-
2023	7905	Irislogic, Inc.	1/27	1/4
2024	7905	Geomatrix Software Services, Inc.	2/29	0/2
2025	7905	314e Corporation	1/27	0/4
2026	7905	Dataguise, Inc.	2/23	5/8
2027	7905	Freudenberg It Lp	0/15	0/16
2028	8076	Openet Telecom, Inc.	2/28	0/2
2029	8076	Blackline Systems, Inc.	1/27	0/3
2030	8076	Adap.Tv, Inc.	0/30	-
2031	8076	Lithium Technologies, Inc.	1/28	0/2
2032	8076	Palo Alto Research Center, Inc.	0/30	-
2033	8076	Radiss Tech Services Inc.	1/28	1/2
2034	8076	Trustwave Holdings Inc.	1/27	0/3
2035	8076	Internet Truckstop	2/24	5/6
2036	8076	Trinus Corporation	1/26	0/4
2037	8076	Canvas Infotech, Inc.	0/27	0/3
2038	8076	Hedvig, Inc.	3/22	0/8
2039	8076	Centroid Systems, Inc.	0/27	2/3
2040	8076	Sensormatic Electronics, Llc	3/26	0/4
2041	8076	Outsource Research Consulting, Inc.	4/27	0/3
2042	8076	C&T Information Technology Consulting, Inc	2/24	0/6
2043	8076	Matchpoint Solutions	0/30	-
2044	8076	Cenit North America, Inc.	1/25	0/5
2045	8076	Universal Business Solutions, Inc.	2/29	0/1
2046	8076	Sra International, Inc.	0/25	0/5
2047	8076	Tentek, Inc.	2/26	0/4
2048	8076	Visionsoft International Inc	0/15	0/15
2049	8076	Digital Technology Solutions Llc.	0/22	1/8
2050	8076	Vestmark, Inc.	1/29	0/1
2051	8076	Envisage Information Systems, Llc	0/27	0/3
2052	8076	Int Technologies, Llc	0/26	0/4
2053	8076	Comptech Associates Inc.	0/30	-
2054	8076	Yash Creations, Inc.	0/26	0/4
2055	8076	Enstoa, Inc.	2/27	0/3
2056	8076	1 Way Solutions, Inc.	4/27	0/3
2057	8076	Parsetek Inc	2/28	0/2
2058	8076	Bullhorn, Inc.	1/25	0/5
2059	8076	Empirix, Inc.	0/24	0/6
2060	8076	Personify, Inc.	0/26	0/4
2061	8076	Actiontec Electronics, Inc.	1/22	0/8
2062	8076	Syscom Technologies, Inc	4/24	0/6
2063	8076	Softtek Integration Systems, Inc.	1/18	1/12
2064	8076	Wintek Solutions, Inc.	0/30	-
2065	8076	Technisar Solutions Inc.	0/29	1/1
2066	8076	Jobvite, Inc.	1/24	0/6
2067	8271	Arete Systems, Inc.	16/24	1/5
2068	8271	Compnova	0/22	1/7
2069	8271	Sugarcrm, Inc.	0/21	0/8
2070	8271	Gurucul Solutions, Llc	0/28	0/1
2071	8271	Unique Comp, Inc.	1/23	0/6
2072	8271	Blue Sky Studios, Inc.	0/19	0/10
2073	8271	Viewsoft Inc.	0/17	2/12
2074	8271	Consulting Professionals, Llc	1/25	0/4
2075	8271	Semanticbits, Llc	0/27	0/2
2076	8271	Instrumental Services, Inc.	2/29	-
2077	8271	Bluware, Inc.	0/24	0/5
2078	8271	Analytics Quotient Inc.	0/27	0/2
2079	8271	Spectrum Logix Inc	0/24	0/5
2080	8271	Affirma Consulting Llc	5/28	0/1
2081	8271	Cognilytics, Inc.	2/23	0/6
2082	8271	Usa Gateway Inc	8/29	-
2083	8271	Strata Decision Technology, Llc	0/21	0/8
2084	8271	Sahasra Technologies Corporation	0/29	-
2085	8271	Leeyo Software, Inc	1/25	0/4
2086	8271	Blue Heron Consulting Corporation	0/22	0/7
2087	8271	Five9, Inc.	1/20	1/9
2088	8271	Amplify Education, Inc.	0/24	0/5
2089	8271	Dfuse Technologies, Inc	0/26	0/3
2090	8271	Sysco Corporation	0/27	0/2
2091	8271	Bcd Travel Usa Llc	7/29	-
2092	8491	Universal Software Corporation	2/28	-
2093	8491	Entelli Consulting Llc	3/24	0/4
2094	8491	Xperttech, Inc.	6/27	0/1
2095	8491	Ecenta America, Inc.	4/26	0/2
2096	8491	Sri Infotech, Inc.	0/28	-
2097	8491	Science Applications International Corporation	1/25	0/3
2098	8491	Chateck, Inc.	0/24	1/4
2099	8491	Eone Infotech Llc	3/21	0/7
2100	8491	Equilar, Inc.	1/24	0/4
2101	8491	Solutions Delivery Inc	0/23	0/5
2102	8491	Metasense, Inc.	1/27	0/1
2103	8491	Icon Solutions, Inc.	1/25	0/3
2104	8491	Jaitra Inc	3/25	1/3
2105	8491	First Derivatives Us Inc	1/23	1/5
2106	8491	Z-Axis Tech Solutions, Inc.	1/26	0/2
2107	8491	Agile Health Technologies, Inc.	0/21	0/7
2108	8491	Sky Bridge Global, Inc.	1/28	-
2109	8491	Icrossing Inc.	1/26	0/2
2110	8491	Velocloud Networks, Inc.	2/26	0/2
2111	8491	Aleks Corporation	5/23	1/5
2112	8491	Sequent, Inc.	0/23	1/5
2113	8491	Explicit Systems Usa, Inc.	0/26	0/2
2114	8491	Deem, Inc.	7/23	0/5
2115	8491	Information Builders Inc.	1/20	2/8
2116	8491	Egb Systems And Solutions Inc	1/28	-
2117	8715	Advanced Software Systems, Inc.	0/21	0/6
2118	8715	Technocrats Domain, Inc.	0/22	1/5
2119	8715	Techgurus Consulting, Inc.	4/27	-
2120	8715	Saphire Solutions Inc	1/23	1/4
2121	8715	Astre Consulting Services, Inc.	1/24	0/3
2122	8715	Deegit, Inc.	1/25	0/2
2123	8715	Principle Solutions Group, Llc	0/25	0/2
2124	8715	Wizcom Corporation	7/27	-
2125	8715	Clarabridge, Inc.	3/25	0/2
2126	8715	Infovista Corporation	3/22	1/5
2127	8715	Taser International, Inc.	1/27	-
2128	8715	Orion Health, Inc.	1/21	0/6
2129	8715	Zenimax Media Inc.	0/20	0/7
2130	8715	Fortis Talent, Llc	1/26	0/1
2131	8715	Tideworks Technology, Inc.	7/22	0/5
2132	8715	Cybernet Solutions Inc.	0/23	0/4
2133	8715	Advanced Technology Innovation Corporation	1/23	0/4
2134	8715	3i People, Inc.	0/22	1/5
2135	8715	Astute Business Solutions	1/27	-
2136	8715	Host Analytics, Inc.	2/20	1/7
2137	8715	Universal Cable Holdings	2/24	0/3
2138	8715	Urban Science Applications, Inc.	0/20	0/7
2139	8715	Riskspan, Inc.	2/27	-
2140	8715	Sysarch, Inc.	2/24	0/3
2141	8715	Nleague Services, Inc.	1/27	-
2142	8715	Invenger Technologies, Inc.	2/22	2/5
2143	8929	Smartinsight, Llc	0/24	0/2
2144	8929	Bave Technologies, Inc.	4/22	0/4
2145	8929	End-To-End Analytics, Llc	1/23	0/3
2146	8929	Avnil Llc	3/26	-
2147	8929	Rangam Consultants Inc.	0/23	0/3
2148	8929	Codeobjects, Inc.	1/23	0/3
2149	8929	Gopa It Consultants Inc.	4/19	1/7
2150	8929	Criterion Software, Llc	4/23	1/3
2151	8929	Amnet New York, Inc.	0/23	0/3
2152	8929	Lg Associates, Inc.	1/26	-
2153	8929	1010data Services Llc	0/20	0/6
2154	8929	Corporate Biz Solutions, Inc.	1/23	1/3
